date,status,reason,capital,exit_reason,net_pnl
2024-11-18,SKIP,Monday,413922.58,,
2024-11-19,TRADE,,388310.37,STOP_LOSS,-25612.21
2024-11-21,NO_SIGNAL,no combo fired,388310.37,,
2024-11-22,TRADE,,345838.46,STOP_LOSS,-42471.9
2024-11-25,SKIP,Monday,345838.46,,
2024-11-26,TRADE,,424887.06,TAKE_PROFIT,79048.6
2024-11-27,NO_SIGNAL,no combo fired,424887.06,,
2024-11-28,NO_SIGNAL,no combo fired,424887.06,,
2024-11-29,NO_SIGNAL,no combo fired,424887.06,,
2024-12-02,SKIP,Monday,424887.06,,
2024-12-03,TRADE,,387402.85,STOP_LOSS,-37484.21
2024-12-04,NO_SIGNAL,no combo fired,387402.85,,
2024-12-05,TRADE,,415520.02,TAKE_PROFIT,28117.17
2024-12-06,NO_SIGNAL,no combo fired,415520.02,,
2024-12-09,SKIP,Monday,415520.02,,
2024-12-10,NO_SIGNAL,no combo fired,415520.02,,
2024-12-11,NO_SIGNAL,no combo fired,415520.02,,
2024-12-12,NO_SIGNAL,no combo fired,415520.02,,
2024-12-13,NO_SIGNAL,no combo fired,415520.02,,
2024-12-16,SKIP,Monday,415520.02,,
2024-12-17,NO_SIGNAL,no combo fired,415520.02,,
2024-12-18,NO_SIGNAL,no combo fired,415520.02,,
2024-12-19,NO_SIGNAL,no combo fired,415520.02,,
2024-12-20,NO_SIGNAL,no combo fired,415520.02,,
2024-12-23,SKIP,Monday,415520.02,,
2024-12-24,NO_SIGNAL,no combo fired,415520.02,,
2024-12-26,NO_SIGNAL,no combo fired,415520.02,,
2024-12-27,NO_SIGNAL,no combo fired,415520.02,,
2024-12-30,SKIP,Monday,415520.02,,
2024-12-31,NO_SIGNAL,no combo fired,415520.02,,
