date,win,exit_reason,entry_prem,exit_prem,dte,Gap Up,Gap Up Strong,Gap Down,Prev India UP,Prev India DOWN,US UP,US DOWN,SGX UP,SGX DOWN,DAX UP,VIX Rising,VIX Falling,VIX Spike
2024-12-19,False,Stop Loss,51.8,44.03,0,False,False,True,False,True,False,True,False,True,False,True,False,True
2024-12-27,False,Stop Loss,144.19,122.56,6,True,False,False,True,False,False,True,True,False,False,True,False,False
2024-12-31,False,Stop Loss,103.25,87.76,2,False,False,True,False,True,False,True,False,True,False,True,False,True
2025-01-01,False,Stop Loss,100.7,85.59,1,False,False,False,False,True,False,True,False,True,False,False,True,False
2025-01-02,False,Stop Loss,83.9,71.31,0,True,False,False,True,False,False,True,False,True,False,False,True,False
2025-01-03,False,11:15 exit,164.4,185.7,6,False,False,False,True,False,False,True,False,True,True,True,False,False
2025-01-07,False,Stop Loss,131.94,112.15,2,True,False,False,False,True,True,False,True,False,True,False,True,False
2025-01-08,False,Stop Loss,81.25,69.06,1,True,False,False,True,False,False,True,False,True,True,True,False,True
2025-01-09,False,Stop Loss,29.1,24.73,0,False,False,False,False,True,True,False,False,True,False,False,True,False
2025-01-10,True,Target Hit,141.9,198.66,6,False,False,False,False,True,False,False,False,True,False,False,False,False
2025-01-14,False,Stop Loss,79.25,67.36,2,True,False,False,False,True,True,False,False,True,False,False,True,False
2025-01-15,True,Target Hit,62.5,87.5,1,True,False,False,True,False,True,False,True,False,True,False,True,False
2025-01-16,False,Stop Loss,27.15,23.08,0,True,True,False,True,False,True,False,True,False,True,False,True,False
2025-01-17,False,Stop Loss,144.3,122.66,6,False,False,False,True,False,False,True,False,True,True,False,False,False
2025-01-21,True,Target Hit,107.15,150.01,2,True,False,False,True,False,False,False,True,False,True,False,False,False
2025-01-22,False,Stop Loss,84.9,72.17,1,True,False,False,False,True,True,False,True,False,True,False,True,False
2025-01-23,False,Stop Loss,22.85,19.42,0,False,False,False,True,False,True,False,True,False,True,False,False,False
2025-01-24,True,Target Hit,171.7,240.38,6,False,False,False,True,False,True,False,True,False,True,False,True,False
2025-01-28,True,Target Hit,111.05,155.47,2,True,True,False,False,True,False,True,False,True,False,True,False,True
2025-01-29,False,Stop Loss,99.95,84.96,1,True,False,False,True,False,True,False,True,False,True,False,True,False
2025-01-30,False,Stop Loss,104.2,88.57,0,False,False,False,True,False,False,True,False,True,True,False,False,False
2025-01-31,False,Stop Loss,261.35,222.15,6,True,False,False,True,False,True,False,True,False,True,False,True,False
2025-02-04,True,Target Hit,75.75,106.05,2,True,True,False,False,True,False,True,True,False,False,True,False,True
2025-02-05,False,Stop Loss,74.15,63.03,1,True,False,False,True,False,True,False,True,False,True,False,True,False
2025-02-06,True,Target Hit,47.95,67.13,0,True,False,False,False,True,True,False,True,False,True,False,True,False
2025-02-11,False,Stop Loss,108.65,92.35,2,False,False,False,False,True,True,False,True,False,True,False,True,False
2025-02-12,True,Target Hit,66.5,93.1,1,False,False,False,False,True,True,False,True,False,True,False,False,False
2025-02-13,False,Stop Loss,61.9,52.61,0,False,False,False,False,True,False,True,True,False,True,False,True,False
2025-02-14,True,Target Hit,140.94,197.32,6,True,False,False,False,True,True,False,False,True,True,False,True,False
2025-02-18,False,Stop Loss,133.55,113.52,2,False,False,False,True,False,False,False,True,False,True,False,False,False
2025-02-19,False,Stop Loss,80.5,68.42,1,False,False,True,False,True,True,False,False,True,True,True,False,False
2025-02-20,False,Stop Loss,39.7,33.75,0,False,False,True,False,True,True,False,False,True,False,False,True,False
2025-02-21,True,Target Hit,125.15,175.21,6,False,False,True,False,True,False,True,False,True,False,False,False,False
2025-02-25,False,Stop Loss,50.85,43.22,2,False,False,True,False,True,False,True,False,True,True,True,False,False
2025-02-27,False,Stop Loss,13.35,11.35,0,False,False,False,False,True,True,False,True,False,True,False,True,False
2025-02-28,True,Target Hit,81.7,114.38,6,False,False,True,False,True,False,True,False,True,False,True,False,True
2025-03-04,False,Stop Loss,88.95,75.61,2,False,False,True,False,True,False,True,False,True,True,True,False,True
2025-03-05,False,Stop Loss,63.65,54.1,1,False,False,False,False,True,False,True,True,False,False,True,False,False
2025-03-06,False,Stop Loss,40.95,34.81,0,True,True,False,True,False,True,False,True,False,True,False,True,False
2025-03-07,False,Stop Loss,118.3,100.55,6,False,False,True,True,False,False,True,False,True,True,True,False,True
2025-03-11,False,Stop Loss,102.0,86.7,2,False,False,True,False,True,False,True,False,True,False,True,False,True
2025-03-12,True,Target Hit,64.85,90.79,1,True,False,False,True,False,False,True,False,True,False,False,True,False
2025-03-13,False,Stop Loss,31.8,27.03,0,True,False,False,False,True,True,False,True,False,True,False,True,False
2025-03-18,False,Stop Loss,82.05,69.74,2,True,True,False,True,False,True,False,True,False,True,False,True,False
2025-03-19,False,Stop Loss,63.55,54.02,1,True,False,False,True,False,False,True,False,True,True,True,False,True
2025-03-20,False,Stop Loss,36.29,30.85,0,True,True,False,True,False,True,False,False,True,False,False,True,False
2025-03-21,False,Stop Loss,99.05,84.19,6,False,False,False,True,False,False,True,False,True,False,False,True,False
2025-03-25,False,Stop Loss,130.0,110.5,2,True,False,False,True,False,True,False,True,False,False,False,True,False
2025-03-26,True,Target Hit,65.75,92.05,1,False,False,False,True,False,True,False,True,False,True,False,True,False
2025-03-27,False,Stop Loss,44.9,38.16,0,False,False,True,False,True,False,True,False,True,False,True,False,True
2025-03-28,False,Stop Loss,109.95,93.46,6,False,False,False,True,False,False,True,False,True,False,False,False,False
2025-04-01,False,Stop Loss,90.75,77.14,2,False,False,True,False,True,True,False,True,False,False,False,False,False
2025-04-02,False,Stop Loss,82.3,69.95,1,False,False,False,False,True,True,False,True,False,True,False,True,False
2025-04-03,False,Stop Loss,43.4,36.89,0,False,False,True,True,False,True,False,False,True,False,False,True,False
2025-04-11,False,Stop Loss,187.75,159.59,6,True,True,False,False,True,False,True,False,True,True,True,False,True
2025-04-15,False,Stop Loss,120.15,102.13,2,True,True,False,True,False,True,False,True,False,True,False,True,False
2025-04-16,False,Stop Loss,48.75,41.44,1,False,False,False,True,False,False,True,False,True,True,False,True,False
2025-04-17,False,Stop Loss,27.4,23.29,0,False,False,True,True,False,False,True,True,False,True,True,False,True
2025-04-22,False,Stop Loss,92.2,78.37,2,True,False,False,True,False,False,True,False,True,False,True,False,True
2025-04-23,True,Target Hit,64.95,90.93,1,True,True,False,True,False,True,False,True,False,True,False,True,False
